Name,Author,User Rating,Reviews,Price,Year,Genre,Avg rating,Highest  rated book,  rated book,Better Rating,Outliers
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13.00,08/07/1905,Non Fiction,4.619649805,,,,
Born to Run,Bruce Springsteen,4.7,3729,18.00,08/07/1905,Non Fiction,4.619493177,,,,
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13.00,01/07/1905,Fiction,4.619335938,,,,
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8.00,02/07/1905,Non Fiction,4.619373777,,,,
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5.00,09/07/1905,Fiction,4.619607843,,,,
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5.00,11/07/1905,Fiction,4.619056974,,,,
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0.00,03/07/1905,Fiction,4.618503937,,,,
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4.00,08/07/1905,Non Fiction,4.618145957,,,,
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18.00,11/07/1905,Non Fiction,4.618181818,,,,
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28.00,06/07/1905,Non Fiction,4.617821782,,,,
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11.00,02/07/1905,Fiction,4.618055556,,,,
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11.00,03/07/1905,Fiction,4.617892644,,,,
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11.00,04/07/1905,Fiction,4.617729084,,,,
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16.00,08/07/1905,Non Fiction,4.61756487,,,,
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14.00,01/07/1905,Non Fiction,4.6174,,,,
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14.00,02/07/1905,Non Fiction,4.617234469,,,,
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14.00,03/07/1905,Non Fiction,4.617068273,,,,
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8.00,10/07/1905,Fiction,4.616901408,,,,
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4.00,07/07/1905,Non Fiction,4.617540323,,,,
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5.00,07/07/1905,Non Fiction,4.617171717,,,,
Cutting for Stone,Abraham Verghese,4.6,4866,11.00,02/07/1905,Fiction,4.616801619,,,,
Cutting for Stone,Abraham Verghese,4.6,4866,11.00,03/07/1905,Fiction,4.6168357,,,,
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10.00,05/07/1905,Non Fiction,4.616869919,,,,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13.00,05/07/1905,Non Fiction,4.616496945,,,,
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4.00,01/07/1905,Fiction,4.616938776,,,,
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8.00,02/07/1905,Fiction,4.616973415,,,,
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4.00,03/07/1905,Fiction,4.617622951,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5.00,07/07/1905,Fiction,4.618480493,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5.00,08/07/1905,Fiction,4.618106996,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5.00,09/07/1905,Fiction,4.617731959,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5.00,10/07/1905,Fiction,4.617355372,,,,
Decision Points,George W. Bush,4.6,2137,17.00,02/07/1905,Non Fiction,4.616977226,,,,
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15.00,02/07/1905,Non Fiction,4.617012448,,,,
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105.00,05/07/1905,Non Fiction,4.617047817,,,,
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105.00,06/07/1905,Non Fiction,4.617291667,,,,
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0.00,05/07/1905,Fiction,4.617536534,,,,
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15.00,01/07/1905,Fiction,4.617154812,,,,
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22.00,06/07/1905,Fiction,4.616771488,,,,
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5.00,11/07/1905,Non Fiction,4.616386555,,,,
Divergent,Veronica Roth,4.6,27098,15.00,05/07/1905,Fiction,4.616421053,,,,
Divergent,Veronica Roth,4.6,27098,15.00,06/07/1905,Fiction,4.616455696,,,,
Divergent / Insurgent,Veronica Roth,4.5,17684,6.00,06/07/1905,Fiction,4.616490486,,,,
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6.00,01/07/1905,Non Fiction,4.616737288,,,,
Doctor Sleep: A Novel,Stephen King,4.7,15845,13.00,05/07/1905,Fiction,4.616772824,,,,
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12.00,01/07/1905,Fiction,4.616595745,,,,
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6.00,10/07/1905,Fiction,4.616204691,,,,
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8.00,09/07/1905,Fiction,4.615598291,,,,
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4.00,10/07/1905,Fiction,4.614989293,,,,
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4.00,11/07/1905,Fiction,4.614377682,,,,
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8.00,11/07/1905,Fiction,4.613763441,,,,
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8.00,11/07/1905,Fiction,4.613146552,,,,
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6.00,10/07/1905,Fiction,4.612526998,,,,
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20.00,08/07/1905,Fiction,4.611904762,,,,
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5.00,07/07/1905,Non Fiction,4.611496746,,,,
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16.00,02/07/1905,Non Fiction,4.611521739,,,,
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1.00,01/07/1905,Non Fiction,4.611764706,,,,
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14.00,01/07/1905,Non Fiction,4.612008734,,,,
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9.00,03/07/1905,Non Fiction,4.612691466,,,,
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9.00,04/07/1905,Non Fiction,4.612938596,,,,
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7.00,01/07/1905,Fiction,4.613186813,,,,
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18.00,01/07/1905,Fiction,4.612995595,,,,
Educated: A Memoir,Tara Westover,4.7,28729,15.00,10/07/1905,Non Fiction,4.612803532,,,,
Educated: A Memoir,Tara Westover,4.7,28729,15.00,11/07/1905,Non Fiction,4.612610619,,,,
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9.00,07/07/1905,Non Fiction,4.612416851,,,,
Fahrenheit 451,Ray Bradbury,4.6,10721,8.00,08/07/1905,Fiction,4.612222222,,,,
Fahrenheit 451,Ray Bradbury,4.6,10721,8.00,10/07/1905,Fiction,4.612249443,,,,
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15.00,08/07/1905,Fiction,4.612276786,,,,
Fear: Trump in the White House,Bob Woodward,4.4,6042,2.00,10/07/1905,Non Fiction,4.612080537,,,,
Fifty Shades Darker,E L James,4.4,23631,7.00,04/07/1905,Fiction,4.612556054,,,,
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11.00,04/07/1905,Fiction,4.613033708,,,,
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14.00,04/07/1905,Fiction,4.613288288,,,,
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14.00,05/07/1905,Fiction,4.615124153,,,,
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32.00,04/07/1905,Fiction,4.616968326,,,,
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6.00,10/07/1905,Non Fiction,4.61723356,,,,
First 100 Words,Roger Priddy,4.7,17323,4.00,06/07/1905,Non Fiction,4.618181818,,,,
First 100 Words,Roger Priddy,4.7,17323,4.00,07/07/1905,Non Fiction,4.617995444,,,,
First 100 Words,Roger Priddy,4.7,17323,4.00,08/07/1905,Non Fiction,4.617808219,,,,
First 100 Words,Roger Priddy,4.7,17323,4.00,09/07/1905,Non Fiction,4.617620137,,,,
First 100 Words,Roger Priddy,4.7,17323,4.00,10/07/1905,Non Fiction,4.617431193,,,,
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9.00,02/07/1905,Non Fiction,4.617241379,,,,
Frozen (Little Golden Book),RH Disney,4.7,3642,0.00,06/07/1905,Fiction,4.617741935,,,,
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9.00,02/07/1905,Non Fiction,4.617551963,,,,
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5.00,03/07/1905,Fiction,4.618055556,,,,
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5.00,04/07/1905,Fiction,4.618097448,,,,
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5.00,05/07/1905,Fiction,4.618139535,,,,
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20.00,02/07/1905,Non Fiction,4.618181818,,,,
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16.00,05/07/1905,Non Fiction,4.618457944,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.00,07/07/1905,Fiction,4.618501171,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.00,08/07/1905,Fiction,4.618075117,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.00,09/07/1905,Fiction,4.617647059,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.00,10/07/1905,Fiction,4.617216981,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.00,11/07/1905,Fiction,4.61678487,,,,
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12.00,11/07/1905,Non Fiction,4.616350711,,,,
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12.00,10/07/1905,Non Fiction,4.616389549,,,,
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12.00,11/07/1905,Non Fiction,4.616428571,,,,
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11.00,01/07/1905,Non Fiction,4.61646778,,,,
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19.00,07/07/1905,Fiction,4.616507177,,,,
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9.00,03/07/1905,Fiction,4.618944844,,,,
Going Rogue: An American Life,Sarah Palin,4.6,1636,6.00,01/07/1905,Non Fiction,4.618509615,,,,
Gone Girl,Gillian Flynn,4,57271,10.00,04/07/1905,Fiction,4.618554217,,,,
Gone Girl,Gillian Flynn,4,57271,10.00,05/07/1905,Fiction,4.620048309,,,,
Gone Girl,Gillian Flynn,4,57271,9.00,06/07/1905,Fiction,4.621549637,,,,
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6.00,11/07/1905,Non Fiction,4.623058252,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14.00,01/07/1905,Non Fiction,4.623114355,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14.00,02/07/1905,Non Fiction,4.623414634,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14.00,03/07/1905,Non Fiction,4.623716381,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14.00,04/07/1905,Non Fiction,4.624019608,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5.00,09/07/1905,Fiction,4.624324324,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5.00,10/07/1905,Fiction,4.623891626,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5.00,11/07/1905,Fiction,4.62345679,,,,
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7.00,04/07/1905,Fiction,4.623019802,,,,
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7.00,05/07/1905,Fiction,4.622332506,,,,
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10.00,06/07/1905,Non Fiction,4.621641791,,,,
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14.00,07/07/1905,Fiction,4.621695761,,,,
Guts,Raina Telgemeier,4.8,5476,7.00,11/07/1905,Non Fiction,4.62225,,,,
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54.00,08/07/1905,Non Fiction,4.621804511,,,,
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11.00,05/07/1905,Non Fiction,4.621105528,,,,
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30.00,08/07/1905,Fiction,4.620654912,,,,
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12.00,08/07/1905,Fiction,4.619949495,,,,
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18.00,11/07/1905,Fiction,4.621518987,,,,
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30.00,09/07/1905,Fiction,4.620812183,,,,
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22.00,08/07/1905,Fiction,4.620101781,,,,
Harry Potter Coloring Book,Scholastic,4.7,3564,9.00,07/07/1905,Non Fiction,4.619387755,,,,
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52.00,08/07/1905,Fiction,4.619181586,,,,
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4.00,01/07/1905,Non Fiction,4.618717949,,,,
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10.00,03/07/1905,Non Fiction,4.618251928,,,,
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10.00,04/07/1905,Non Fiction,4.618041237,,,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14.00,08/07/1905,Non Fiction,4.617829457,,,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14.00,09/07/1905,Non Fiction,4.618393782,,,,
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22.00,10/07/1905,Non Fiction,4.618961039,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.00,06/07/1905,Non Fiction,4.618489583,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.00,07/07/1905,Non Fiction,4.618276762,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.00,08/07/1905,Non Fiction,4.618062827,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.00,09/07/1905,Non Fiction,4.617847769,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.00,10/07/1905,Non Fiction,4.617631579,,,,
Howard Stern Comes Again,Howard Stern,4.3,5272,16.00,11/07/1905,Non Fiction,4.617414248,,,,
Humans of New York,Brandon Stanton,4.8,3490,15.00,05/07/1905,Non Fiction,4.618253968,,,,
Humans of New York,Brandon Stanton,4.8,3490,15.00,06/07/1905,Non Fiction,4.617771883,,,,
Humans of New York : Stories,Brandon Stanton,4.9,2812,17.00,07/07/1905,Non Fiction,4.617287234,,,,
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17.00,05/07/1905,Non Fiction,4.616533333,,,,
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7.00,11/07/1905,Non Fiction,4.61631016,,,,
"I, Alex Cross",James Patterson,4.6,1320,7.00,01/07/1905,Fiction,4.615817694,,,,
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4.00,09/07/1905,Fiction,4.615860215,,,,
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4.00,11/07/1905,Fiction,4.615363881,,,,
If I Stay,Gayle Forman,4.3,7153,9.00,06/07/1905,Fiction,4.614864865,,,,
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21.00,03/07/1905,Non Fiction,4.615718157,,,,
Inferno,Dan Brown,4.1,29651,14.00,05/07/1905,Fiction,4.616304348,,,,
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20.00,03/07/1905,Fiction,4.617711172,,,,
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13.00,11/07/1905,Non Fiction,4.617759563,,,,
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13.00,10/07/1905,Non Fiction,4.618356164,,,,
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12.00,11/07/1905,Non Fiction,4.618956044,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.00,03/07/1905,Non Fiction,4.6184573,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.00,04/07/1905,Non Fiction,4.617679558,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.00,05/07/1905,Non Fiction,4.616897507,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.00,06/07/1905,Non Fiction,4.616111111,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.00,07/07/1905,Non Fiction,4.615320334,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.00,08/07/1905,Non Fiction,4.61452514,,,,
JOURNEY TO THE ICE P,RH Disney,4.6,978,0.00,06/07/1905,Fiction,4.61372549,,,,
Joyland (Hard Case Crime),Stephen King,4.5,4748,12.00,05/07/1905,Fiction,4.613764045,,,,
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17.00,09/07/1905,Non Fiction,4.614084507,,,,
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12.00,05/07/1905,Non Fiction,4.614124294,,,,
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25.00,04/07/1905,Non Fiction,4.614447592,,,,
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10.00,03/07/1905,Non Fiction,4.614488636,,,,
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10.00,04/07/1905,Non Fiction,4.614245014,,,,
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6.00,06/07/1905,Non Fiction,4.614,,,,
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5.00,07/07/1905,Non Fiction,4.614040115,,,,
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6.00,08/07/1905,Non Fiction,4.61408046,,,,
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8.00,10/07/1905,Non Fiction,4.613544669,,,,
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4.00,05/07/1905,Non Fiction,4.61300578,,,,
